date,text,before_2020
2020-05-30 14:00:01+00:00,president michel and the prime minister of japan expressed their sympathy with the victims of the in a videocall this week they agreed on the importance of solidarity cooperation and multilateralism for defeating the virus ,After 2020
2020-05-27 16:31:48+00:00,this recovery plan turns the immense challenge we face into an opportunity the additional firepower of and the reinforced long term will give us the power of solidarity to support eu countries and the economy more ,After 2020
2020-05-26 11:17:21+00:00,global solidarity and cooperation are needed more than ever to defeat the and ensure economic recovery read the joint press release after the japan eu leaders meeting with president michel and the prime minister of japan ,After 2020
2020-05-26 10:54:25+00:00,european companies have shown extraordinary solidarity to face the pandemic from distilleries to textile companies the industry has put its knowhow at the service of the citizens to produce what is needed to fight the virus more stories ,After 2020
2020-05-21 12:00:00+00:00,this is the time for cooperation this is the time for science and solidarity this is the time for all humanity to rally around a common cause and you can count on europe to always play for the team president at ,After 2020
2020-05-20 14:45:42+00:00,in the face of adversity europe is showing solidarity countries regions and cities stretching out a helping hand is what our union is all about in action ,After 2020
2020-05-14 10:34:32+00:00,we welcome approval of the management of the in  this is a strong signal that every euro goes where it is needed the eu budget is a key expression of solidarity and crucial for joint response to challenges like ,After 2020
2020-05-10 11:32:03+00:00,our unity and solidarity will ultimately beat the the eu supported a medical team from romania who traveled to italy to fight the coronavirus pandemic read joe stroescus story here ,After 2020
2020-05-09 09:25:08+00:00,today is only united are we able to maintain the european project continue preserving peace and work for a sustainable future in europe together with all eu leaders we celebrate solidarity that keeps us ,After 2020
2020-05-09 06:00:00+00:00,today is it marks the th anniversary of the schuman declaration a starting point towards the eu as we know it today only through unity and solidarity are we able to maintain the european project together we are stronger ,After 2020
2020-05-08 14:12:03+00:00, our solidarity is a power that can support the frontline fighters of the coronavirus social media influencer mamoun al herimi joins the coronavirus ,After 2020
2020-05-08 12:30:45+00:00,this is solidarity in action this is what europe is all about we are we are read their full stories here ,After 2020
2020-05-08 10:27:05+00:00, on may is about european solidarity and unity this year it takes place under exceptional circumstances as we fight tomorrow we celebrate online with citizens dialogues and webinars on key moments of eu integration and our future ,After 2020
2020-05-08 06:45:54+00:00,five years after the war ended on may  robert schuman proposed the schuman plan the first step towards european integration tomorrow we will mark years of the historic schuman declaration years of peace and solidarity in europe ,After 2020
2020-05-07 05:52:00+00:00, is around the corner this weekend we will celebrate the eu peace values and solidarity that especially during the coronavirus pandemic are crucial to overcome the crisis together stay tuned to celebrate with us on saturday may ,After 2020
2020-05-04 15:05:07+00:00,the world is coming together to defeat the coronavirus we have so far raised billion in initial funding for affordable and accessible diagnostics treatments and vaccines ,After 2020
2020-05-01 15:00:01+00:00,most of the treatments proposed for coronavirus are currently being tested to determine their efficacy with the initiative we are joining forces to make them accessible for all patients around the world ,After 2020
2020-04-30 11:53:43+00:00,we have received an application from austria for support from the eu solidarity fund to deal with the public health emergency the programme is now part of the eu response to easing the burden of the pandemic on national budgets more ,After 2020
2020-04-29 11:17:34+00:00,the eu platform of diversity charters turns it encourages companies to promote more diversity inclusion and solidarity in the workplace with over  signatories it has brought about tangible results ,After 2020
2020-04-27 10:40:31+00:00,italy is the first country to apply for support from the eu solidarity fund for health emergency the programme is now part of the eu response to easing the burden of the pandemic on the national budgets ,After 2020
2020-04-26 10:25:00+00:00,during hard times when we work together we are stronger this is how eu solidarity can save lives ,After 2020
2020-04-22 10:34:34+00:00,we propose billion macro financial assistance to support ten neighbouring countries in limiting the economic fallout of the pandemic the eu stands in solidarity with these countries at a time of unprecedented crisis more ,After 2020
2020-04-21 06:36:32+00:00,a norwegian team of doctors and nurses deployed through the eu civil protection mechanism are helping their italian colleagues fight in the bolognini hospital near bergamo this is european solidarity at its best ,After 2020
2020-04-19 07:23:52+00:00,the virus does not stop at borders but nor does solidarity thank you to all european artists who participated in or gave their support to one world initiative you can listen to them in our dedicated playlist here ,After 2020
2020-04-18 17:02:53+00:00,they are giving their voice we are giving our support tonight s concert aims to raise further funds for the solidarity response fund we are but even ,After 2020
