date,text
2020-05-31 17:00:01+00:00,this is the time for it is only by working together and doing our bit that we can get through this crisis here are stories of people from across europe doing their part with some help from the eu 
2020-05-31 15:00:00+00:00,last week we released the science research and innovation performance report it highlights the need for r amp i to bring about the ecological and digital transitions europe needs plays a crucial role in this transformation more 
2020-05-31 11:00:21+00:00,the calls during the crisis have been loud and clear we need more europe in the area of public health our response is the programme which will increase our total support by times to strengthen our health systems more 
2020-05-31 09:59:00+00:00, we are facing our very own defining moment this week president presented our proposals for the recovery plan together with our long term itll have the financial capacity of  trillion 
2020-05-31 08:00:00+00:00,shaping a greener future and a sustainable recovery with you together we can build the european climate pact and join forces in designing new climate actions sharing information inspiring others share your views by june here 
2020-05-31 07:00:00+00:00,today is world no tobacco day tobacco is the leading preventable cause of cancer mortality in the eu this is why the will strongly focus on tobacco control and take action to reduce the exposure to this key risk factor 
2020-05-30 16:00:00+00:00,it is the european week against cancer join the consultation on the with actions on prevention diagnosis treatment and the quality of life of both patients and survivors we want to hear from you because together we can make a difference 
2020-05-30 14:00:01+00:00,president michel and the prime minister of japan expressed their sympathy with the victims of the in a videocall this week they agreed on the importance of solidarity cooperation and multilateralism for defeating the virus 
2020-05-30 12:00:01+00:00,our recovery plan will strengthen the we are proposing to mobilise billion for the just transition mechanism to help the most vulnerable regions deal with the socio economic impacts of the transition 
2020-05-30 11:00:00+00:00,nature restoration is a central element of our recovery plan from the coronavirus pandemic the strategy will bring nature back in our lives by providing investment opportunities for restoring our economy 
2020-05-30 10:05:00+00:00,what do and have in common they join our for our future campaign with more celebrities and more information on the global pledging summit on june 
2020-05-30 08:00:13+00:00, together we must lay the foundations for our future a union which is climate neutral digital and more resilient than ever before president learn more about amp revamped long term 
2020-05-30 06:30:00+00:00,happy statehood day croatia estitamo dan dr avnosti having joined in  croatia is the newest member of the eu family and currently holds the rotating presidency of the in these difficult times we stand united with 
2020-05-29 13:40:23+00:00,this week we put forward our proposal for a major recovery plan to build a green digital and resilient future for the check our twitter moment to learn more 
2020-05-29 10:28:17+00:00,to reinforce our economy we propose to create a new strategic investment facility within the programme this will support eu businesses and ensure a strong focus of investors on the green and digital transitions more 
2020-05-29 09:48:08+00:00,we have to kick start the european economy to overcome the socio economic consequences of the pandemic the new solvency support instrument will enable equity support to businesses by mobilising private investment more 
2020-05-29 09:10:43+00:00,we act to support european businesses in the sectors regions and countries most impacted by watch the press conference by and on an enhanced investeu programme and its new strategic investment facility
2020-05-29 08:10:06+00:00,we want to kick start eus economy by incentivising private investments to companies from all sectors and prepare them for a cleaner digital and resilient future press conference by executive vice president on the solvency support instrument
2020-05-29 06:30:00+00:00,one month ago a worldwide coalition came together to shape the coronavirus to the pandemic yesterday we launched the campaign for our future with a final pledging summit on june more 
2020-05-28 15:29:37+00:00,the pledging marathon started on may with our event  billion were pledged in initial funding it showed the willingness and capacity of the world to join forces and pool resources to overcome the pandemic this week we reached billion pledged 
2020-05-28 14:49:44+00:00,we kick off a campaign with to step up the mobilisation of funding and overcome this pandemic it will culminate in a global pledging summit on june more on global goal unite for our future  
2020-05-28 13:57:35+00:00,the world needs to come out stronger from this pandemic president founder and ceo announce the next steps in the coronavirus global response  
2020-05-28 13:54:44+00:00,to ensure social fairness in the green transition we have proposed a new public sector loan facility it will encourage investments to support the transition towards climate neutrality in coal and carbon intensive regions more 
2020-05-28 13:41:45+00:00,we have proposed a new react eu initiative to increase cohesion support and make eu economies more resilient and sustainable this will help to bridge the gap between first response measures and longer term recovery more 
2020-05-28 12:16:02+00:00,today we hold a first roundtable meeting with the european financial sector and consumer business associations the objective is to explore how the sector can support citizens and businesses throughout the pandemic more 
2020-05-28 12:10:28+00:00,we have approved redirection of million from the european regional development fund to help italian regions emilia romagna and tuscany increased flexibility under helps europe s regions to cope with the crisis more 
2020-05-28 10:58:59+00:00,we propose an ambitious health programme for the  period the programme through it our goal is to invest billion to strengthen health systems and better equip us for the future more 
2020-05-28 10:21:53+00:00,watch with live interpretation here 
2020-05-28 10:21:15+00:00,building on the lessons learned from the crisis the programme is our vision for a healthier and safer union watch the press conference by and on the and health 
2020-05-28 10:04:02+00:00,making europe more resilient and inclusive in the future means investing in people now eu social funds will play a major role in the green and digital transitions to ensure that no one is left behind more 
2020-05-28 09:31:14+00:00,cohesion policy will be crucial to ensuring a balanced recovery after with crisis response and repair measures post cohesion focused on building a resilient society based on a green and digital transition more 
2020-05-28 09:14:52+00:00,cohesion policy will ensure crisis repair and create a resilient society based on the objectives of a green and digital transition watch the press conference by and on a green and just recovery 
2020-05-28 09:02:00+00:00,we will provide financial support for reforms and investments undertaken by eu countries notably towards the green and digital transition this will help make eu economies more resilient and better prepared for the future more 
2020-05-28 08:07:42+00:00,the is our ambitious answer to europes needs supporting the recovery and investing in our future watch the press conference by and on recovery and resilience 
2020-05-28 07:41:35+00:00,tune in live at  cest as president and founder and ceo unveil the next steps of the coronavirus we are more 
2020-05-28 06:30:00+00:00,yesterday we put forward our proposal for a major recovery plan to build a green digital and resilient future for the eu today we will present proposals for the on recovery and resilience green and just recovery health programme 
2020-05-27 16:42:51+00:00,in order to make funds available as soon as possible to respond to the most pressing needs we propose to amend the current long term  to make an additional  billion in funding available already in  
2020-05-27 16:39:08+00:00,to finance the necessary investments we will borrow up to billion on the financial markets this additional funding will be channelled through eu programmes and repaid throughout future eu budgets not before  more 
2020-05-27 16:35:54+00:00,the money raised for will be invested across three pillars support to eu countries with investments and reforms kick start the eu economy through private investments address the lessons of the crisis more 
2020-05-27 16:31:48+00:00,this recovery plan turns the immense challenge we face into an opportunity the additional firepower of and the reinforced long term will give us the power of solidarity to support eu countries and the economy more 
2020-05-27 16:30:00+00:00, let us all come together to fight this pandemic in order to end it as soon as possible join lebanese actress in supporting the coronavirus we are 
2020-05-27 14:53:22+00:00,as part of europe s recovery we also have adjusted our work programme for  we are responding to the pandemic by refocusing our work and prioritising the actions needed to propel europe s recovery and resilience more here 
2020-05-27 14:16:59+00:00, i want us to take a new bold step together in our union we know that the boldest measures truly are the safest for our future read s full speech on the presentation of and the revamped long term 
2020-05-27 13:37:33+00:00,interpretation here 
2020-05-27 13:36:17+00:00, the recovery instrument turns the challenge we face into an opportunity by supporting the recovery and investing in our future watch the press conference by president on the recovery plan and the long term 
2020-05-27 11:54:38+00:00,today we propose the recovery plan together with the next it will bring the total financial firepower of the eu budget to  trillion this is europe s moment 
2020-05-27 11:45:00+00:00, this is europes moment our willingness to act must live up to the challenges we are all facing watch the opening statement by president on the recovery instrument in the 
2020-05-27 08:19:50+00:00,today we will put forward a revamped long term and recovery plan they are our instruments to build a modern clean and healthy economy which secures the livelihoods of the next generation stay tuned and follow live on twitter 
2020-05-26 16:30:00+00:00, the coronavirus pandemic is a global crisis that requires a tim passchier is researcher within the honours innovative training network an international group of researchers set up to prepare for viral outbreaks 
2020-05-26 16:04:12+00:00,tomorrow we will present our revised long term proposal and our recovery plan an answer that is built on necessity but is designed for the future and for younger generations 
2020-05-26 14:45:13+00:00,join us live on thursday as the coronavirus continues we are more 
2020-05-26 14:40:25+00:00,together with our global partners we pledged billion in initial funding to develop diagnostics treatments and vaccines to fight in every corner of the world 
2020-05-26 14:35:23+00:00,on may the coronavirus pledging event brought together more than world leaders ceo s and representatives of international organisations all with one goal defeat the 
2020-05-26 13:46:22+00:00,following our call the major online platforms have removed millions of misleading ads or product listings that allegedly help cure the we continue working together with eu countries to protect consumers online 
2020-05-26 11:23:38+00:00,congratulations to all selected participants in the programme projects funded  organisations involved  phd candidates supported million this will offer top notch research and training opportunities more 
2020-05-26 11:17:21+00:00,global solidarity and cooperation are needed more than ever to defeat the and ensure economic recovery read the joint press release after the japan eu leaders meeting with president michel and the prime minister of japan 
2020-05-26 11:01:29+00:00,we welcome the agreement to extend the time limit for general meetings of european companies ses and cooperatives sces this will give them more time to take the necessary decisions to secure their functioning during these challenging times 
2020-05-26 10:59:40+00:00,we thank companies for converting their production to keep people safe we do all we can to support them by freely available standards for protective equipment guidance to accelerate the approvals of essential products more 
2020-05-26 10:54:25+00:00,european companies have shown extraordinary solidarity to face the pandemic from distilleries to textile companies the industry has put its knowhow at the service of the citizens to produce what is needed to fight the virus more stories 
2020-05-26 06:30:01+00:00,today president with michel and the prime minister of japan hold a videoconference meeting on the agenda a coordinated response to the pandemic preparations for the upcoming g summit strategic partnership
2020-05-25 15:15:00+00:00, we have to support scientists on the way to finding a vaccine croatian doctor natko beck joins the coronavirus thank you for your support 
2020-05-25 13:38:09+00:00,the will strengthen our approach at every key stage of the disease prevention early diagnosis treatment follow up care more 
2020-05-25 10:30:50+00:00,on thursday afternoon president and external partners will have a press statement on the next steps in the coronavirus stay tuned and follow it live on our twitter account 
2020-05-25 10:22:15+00:00,we have approved a billion italian umbrella scheme to support the economy in the context of the outbreak the scheme will support italian businesses in continuing their operations in these difficult times and help preserve jobs more 
2020-05-25 10:13:06+00:00,tomorrow presidents and and the prime minister of japan will discuss a coordinated response to via videoconference they will also focus on the upcoming g summit and the strategic partnership 
2020-05-25 07:18:47+00:00,today marks the second anniversary of the application of europes strengthened rules is a cornerstone of the european digital transition and has become a reference point at global level on privacy more here 
2020-05-25 06:30:00+00:00,today the european week against cancer kicks off tackling cancer is of fundamental importance for europes future we are committed to work together on for a positive change 
2020-05-24 18:00:00+00:00,false information affects us all but together we can stop it from spreading check the author verify the source get the facts on some of the false narratives about the 
2020-05-24 16:00:00+00:00,this week eu countries agreed on the establishment of the billion sure instrument this is an important step in our joint fight against the socio economic consequences of the sure will help eu countries with protecting workers and jobs 
2020-05-24 14:00:00+00:00, if there is one thing we learned about this virus it is that it does not discriminate we welcome joseph calleja joining the coronavirus we are 
2020-05-24 12:00:00+00:00,we are supporting health authorities and healthcare professionals in all eu countries in tackling the crisis we have mobilised additional million from to boost urgently needed research into the virus more 
2020-05-24 09:00:16+00:00,on may  the general data protection regulation will celebrate its second year of entry into application the ensures that citizens have more control over their personal data and sets a framework for trustworthy innovation 
2020-05-24 07:00:00+00:00,we are reconciling our food systems with our planets health by  the strategy will reduce the use of pesticides fertilizers antibiotics in farming while boosting by organic farming in the eu read more 
2020-05-23 16:00:01+00:00,as soon as the health situation allows people should be able to catch up with friends and family in the eu we also aim to help the sector recover more about our guidance in our thread 
2020-05-23 14:00:00+00:00, this is a time to grow empathy and kindness due to enita naka was forced to take a break as an orthodontist but her work as a teacher continues she is teaching a new generation of health care workers at the university of sarajevo 
2020-05-23 12:00:01+00:00,this week we announced the winners of the eu prize for literature  they are emerging authors who truly represent the richness and diversity of european contemporary literature discover the laureates 
2020-05-23 09:00:00+00:00,in recent weeks  and many others have joined the coronavirus learn about the reasons for their support on our youtube channel 
2020-05-23 07:00:43+00:00,we have proposed a new economic policy guidance to eu countries in the context of this aims to mitigate the most urgent socio economic challenges relaunch sustainable growth towards the digital and green transitions 
2020-05-22 16:00:01+00:00,biodiversity is essential for life and is at the heart of our growth strategy the it is part of a european recovery that gives more back to the planet than it takes away more about our new strategy 
2020-05-22 14:00:00+00:00,dimo stoyanov is the frontman of the bulgarian rock band p i f as he joins the coronavirus dimo has a clear message to the world let s stick together 
2020-05-22 13:00:00+00:00,european countries helping one another is what our union is all about the eu civil protection mechanism has already coordinated the delivery of assistance to countries further deliveries are being dispatched to countries that have sought support 
2020-05-22 11:02:31+00:00,from growing to delivering over million people work across the eu s food supply chain thanks to them we continue to enjoy some of the best quality food in the world we are 
2020-05-22 10:15:00+00:00,the coronavirus crisis has shown how important it is to restore the balance between human activity and nature we are setting ambitious actions and commitments to halt biodiversity loss in europe and worldwide read more 
2020-05-22 08:00:00+00:00,do you have an idea to shape the eu agenda but need legal advice to get started last chance to register for the forum s webinar on may to learn how to manage the legal challenges avoid mistakes and turn your idea into a citizens initiative proposal 
2020-05-22 06:30:00+00:00,today is international a good day to know about our life programme that plays a key role in preserving biodiversity from flying squirrels to lynx see how life has found a way to help vulnerable species 
2020-05-21 16:00:00+00:00,we connect researchers innovators and healthcare providers to fight the pandemic together we can defeat this virus 
2020-05-21 14:00:01+00:00, we need collaborated efforts and good investments to tackle the situation charmaine gauci malta s superintendent of public health on why she is joining the coronavirus thank you for your support 
2020-05-21 12:00:00+00:00,this is the time for cooperation this is the time for science and solidarity this is the time for all humanity to rally around a common cause and you can count on europe to always play for the team president at 
2020-05-21 11:00:00+00:00,we allocated additional million to help vulnerable people facing humanitarian crises caused by globally it will provide access to health services protective equipment water and sanitation no area of the world should be left unprotected 
2020-05-21 09:00:02+00:00,whether youre considering going on vacation or staying put this summer these simple steps will protect you and those around wash your hands cover your mouth amp nose when coughing avoid touching your face respect physical distancing 
2020-05-21 08:00:00+00:00,to address the challenges faced by organisers of european citizens initiatives due to the coronavirus we have proposed to adjust deadlines for collection verification and examination of initiatives more here 
2020-05-21 07:00:00+00:00,today is we celebrate the worlds largest network of protected areas natura  it covers over  sites across europe and protects our most precious and threatened species find the nearest site to your home in our viewer 
