0,1
2020-06-09 21:04:06+00:00,Asymptomatic: people who are infected but never go on to develop symptoms Pre-symptomatic: people who are infected but have not yet developed symptoms Symptomatic: people who are infected and showing symptoms #COVID19 #coronavirus Learn more 
2020-06-09 20:54:51+00:00,#COVID19 is caused by a new virus. We are still learning about the disease every day. We need more data to better understand transmission. #coronavirus Learn more 
2020-06-09 13:31:54+00:00,Live on #COVID19 transmission with @DrMikeRyan &amp; Dr @mvankerkhove. #AskWHO
2020-06-08 22:20:44+00:00,"Wash your hands for 40 seconds and sing along ""Wash Wash Wash Your Hands"" with @peppapig and and her friends, Rebecca Rabbit and Mr Badger! Washing your hands can help to stop the spread of #COVID19"
2020-06-08 21:32:01+00:00,The @Minions &amp; Gru are supporting WHO in making sure people of all ages stay safe and healthy during this #COVID19 pandemic: physically distancing being active at home being kind to each other
2020-06-08 19:40:00+00:00,"WHO has joined forces with the #UnitedKingdom government to run “Stop The Spread”, an awareness campaign about the risks of incorrect and false information regarding the #COVID19 pandemic"
2020-06-08 19:25:01+00:00,False information on #COVID19 is spreading &amp; putting people in danger. Make sure to double-check everything you hear against trusted sources. For accurate information on #coronavirus find official advice from your country's public health authority &amp; WHO!
2020-06-08 19:10:30+00:00,"Make your own avatar using @Genies and spread WHO’s #HealthyAtHome messages with personalised stickers that you can use on messaging &amp; social media! To make your own, simply download the Genies app from App Store or Play Store. #COVID19 #coronavirus"
2020-06-08 15:41:38+00:00,The full briefing on #COVID19 by @DrTedros 
2020-06-08 15:39:44+00:00,"""More than six months into the #COVID19 pandemic, this is not the time for any country to take its foot off the pedal. This is the time for countries to continue to work hard, on the basis of science, solutions and solidarity""-@DrTedros"
2020-06-08 15:39:19+00:00,"""So far, WHO has shipped more than 5 million items of personal protective equipment (PPE) to 110 countries. We are now in the process of shipping more than 129 million items of PPE to 126 countries""-@DrTedros #COVID19"
2020-06-08 15:38:59+00:00,"""The platform also includes the #COVID19 Supply Portal, enabling countries to request critical supplies of diagnostics, protective equipment and other essential medical provisions""-@DrTedros"
2020-06-08 15:38:29+00:00,"""This online tool enables countries to enter planned activities for which they need support & donors to match their contributions to these activities. So far, 105 natl. plans have been uploaded & 56 donors have entered their contributions, totalling USD 3.9B""-@DrTedros #COVID19"
2020-06-08 15:37:21+00:00,"""As part of our commitment to coordinating the global response, WHO is also running the #COVID19 Partners Platform, an online tool that enables countries to match needs with resources""-@DrTedros"
2020-06-08 15:36:41+00:00,"""We emphasise that digital tools do not replace the human capacity needed to do contact tracing. Starting tomorrow, WHO is convening an online consultation on #COVID19 contact tracing, to share technical &amp; operational experience, incl. innovations in digital technology""-@DrTedros"
2020-06-08 15:35:30+00:00,"""More evidence is needed about the effectiveness of these tools for contact tracing. We encourage countries to gather this evidence as they roll out these tools, and to contribute that evidence to the global knowledge base""-@DrTedros #COVID19"
2020-06-08 15:35:12+00:00,"""But they can also pose challenges to privacy, lead to incorrect medical advice based on self-reported symptoms, and can exclude those who do not have access to modern digital technologies""-@DrTedros #COVID19"
2020-06-08 15:34:58+00:00,"""As part of a comprehensive approach, digital contact-tracing tools offer the opportunity to trace larger numbers of contacts in a shorter period of time, and to provide a real-time picture of the spread of the virus""-@DrTedros #COVID19"
2020-06-08 15:34:18+00:00,"""Others use GPS or Bluetooth technology to identify those who may have been exposed to an infected person. And still others can be used by people to self-report signs and symptoms of #COVID19""-@DrTedros"
2020-06-08 15:33:48+00:00,"""Some are designed for use by public health personnel, like WHO’s http://Go.Data application, which has been used successfully to trace contacts during the ongoing Ebola outbreak in DRC""-@DrTedros #COVID19 https://bit.ly/30mR8vo"
2020-06-08 15:33:11+00:00,"""WHO has also published new guidelines on the use of digital tools for contact tracing. Many digital tools have been developed to assist with contact tracing and case identification""-@DrTedros #COVID19"
2020-06-08 15:31:59+00:00,"""Last week we published guidance that describes how existing polio surveillance networks can be used in the #COVID19 response, and outlines the measures that should be put in place to maintain an effective level of surveillance for polio""-@DrTedros"
2020-06-08 15:31:38+00:00,"""Contact tracing remains an essential element of the response. In some countries, there is already a strong network of #healthworkers for polio who are now being deployed for #COVID19""-@DrTedros"
2020-06-08 15:31:06+00:00,"""We also encourage countries to strengthen the fundamental public health measures that remain the basis of the response: find, isolate, test and care for every case, and trace and quarantine every contact""-@DrTedros #COVID19"
