date,text,before_2020
2020-05-26 14:54:32+00:00,today we announced a collaboration with to develop a test for mrd in building on our commitment to identify and treat patients at earlier stages of disease ,After 2020
2020-04-17 13:23:45+00:00,we believe in the power of collaboration and we re honored to be a part of this new partnership with and to drive solutions in the fight against ,After 2020
2020-04-08 09:05:08+00:00,with an aim to decrease the impact of our r amp d teams are working in collaboration with government and academia to identify monoclonal antibodies that have the potential to recognise bind to and neutralise the sars cov virus ,After 2020
2020-04-07 11:55:10+00:00,together with and we have formed a collaboration to support the uk government s effort to boost testing for a new testing facility will be set up at the university s anne mclaren laboratory to support this national effort ,After 2020
2020-02-20 14:09:08+00:00,we know the best science doesn t happen in isolation which is why we work collaboratively to fuel scientific discovery siobhan mcmahon from discusses the ingredients needed for a successful collaboration ,After 2020
2020-02-20 12:15:46+00:00,great to see our cambridge uk home the cbc recognised as a partnership and collaboration are at the heart of life sciences in the united kingdom ,After 2020
2020-02-19 15:57:08+00:00,in our collaboration with we ve seen two teams become one driven by a desire to make a difference watch this video to find out how together we re turning data into knowledge ,After 2020
2020-02-18 16:45:08+00:00,ai has the potential to transform our r d in collaboration with we re using machine learning and to discover new drugs targets for two debilitating diseases ckd and ipf learn more about how we re turning data into knowledge ,After 2020
2020-01-14 16:56:03+00:00,we re at and where chris sheldon vp global head of business development amp licensing participated in a panel on how new technologies and collaboration are reshaping oncology learn more about our partnership opportunities ,After 2020
2020-01-10 17:40:02+00:00,next week at the chris sheldon will be a panellist alongside biotech executives and analysts discussing how collaboration and new technologies are reshaping oncology ,After 2020
2019-12-30 16:19:20+00:00,we re wrapping up with over  active partnerships in r d across academia biotech and industry these collaborations are turning what was once science fiction into reality ,Before 2020
2019-12-06 12:42:37+00:00,chairman leif johansson was in india to celebrate the creation of the india sweden healthcare innovation centre a collaboration between the swedish trade commissioner s office aiims jodhpur delhi where astrazeneca is the knowledge partner ,Before 2020
2019-12-04 20:48:02+00:00,congratulations to our cross functional deal team on winning the  financing deal of the year for our five part immuno oncology collaboration with for information on partnering with us ,Before 2020
2019-11-19 12:40:03+00:00,this past summer we launched our new global lgbtqia employee resource group azpride this group promotes more inclusive policies and workplaces across the company drives collaboration across initiatives and more ,Before 2020
2019-11-15 17:20:02+00:00,the best science doesn t happen in isolation we are part of melloddy an funded project seeking to accelerate drug discovery and increase efficiencies using learn more about our collaborations in data science and ,Before 2020
2019-11-15 15:20:07+00:00,today we joined for the opening of the functional genomics centre in through our collaboration we aim to deepen understanding of cancer biology and accelerate development of treatments for patients with full video here ,Before 2020
2019-11-14 11:45:19+00:00,we believe and can help us make a big change in how we design new medicines but collaboration internally and externally is essential to realising the potential of data science and watch more ,Before 2020
2019-11-13 10:19:02+00:00,cutting edge research only happens when are able to follow their noses thats a shared belief with the with whom we have collaborations read more about our partnership and being part of the cambridge cluster ,Before 2020
2019-11-06 20:18:17+00:00,our presence at is part of our commitment to scientific exchange and collaboration with our immuno oncology pipeline we re harnessing the power of the immune system to recognise and react to cells ,Before 2020
2019-10-02 17:15:02+00:00,it s been an exciting week of science and collaboration at this year s where together the respiratory community helped to push the boundaries of science to change clinical practice and improve patient outcomes ,Before 2020
2019-10-01 17:59:02+00:00,we are excited to host the first with to highlight the power of multi stakeholder collaboration to drive positive reforms in asthma care at ,Before 2020
2019-09-20 15:20:02+00:00,astrazeneca s idream india biohub has strengthened its partnership with nasscom by facilitating a strategic collaboration with china s new i campus hub which will help tech start ups accelerate healthcare innovation ,Before 2020
2019-09-06 09:15:18+00:00,the alliance is supporting collaboration between medical scientific amp advocacy communities join us in our ambition to improve outcomes for patients around the world learn how at ,Before 2020
2019-09-03 11:48:02+00:00,we recognise transparency as a foundation of trust our new transparency map was launched in an effort to reimagine sustainability reporting by making the same information accessible to all at the same time explore the tool ,Before 2020
2019-08-29 03:35:02+00:00,we are in a unique position to support china s national health goals as innovative policies such as healthy china  enable increased collaboration between chinese agencies and the healthcare industry ,Before 2020
2019-08-16 13:09:05+00:00,recent from our collaboration with and published in cell draws on expertise in complementary fields to create a novel cellular signalling system read more about how we re elevating science through collaboration ,Before 2020
2019-08-02 12:07:05+00:00,collaboration drives scientific advances by working with leaders across disciplines we can make meaningful change for patients and positively impact survival curve ,Before 2020
2019-07-11 07:15:06+00:00,how do you avoid a winner takes all mindset and set the stage for a mutually beneficial collaboration from the start learn more about productive partnership negotiations ,Before 2020
2019-07-08 11:44:19+00:00, is still the deadliest form of cancer with million people diagnosed worldwide each year we want to change the status quo of this disease through education innovation and collaboration ,Before 2020
2019-06-13 14:23:42+00:00,we are digging deeper into the secrets of the secretome with our partners at learn more about the extension of our collaboration with the kth to translate the science of the secretome into potential therapies of the future ,Before 2020
2019-06-08 15:48:55+00:00,we congratulate jane osbourn on being awarded an obe in the queen s birthday honours recognising her leadership in antibody engineering biotech and contribution to through her commitment to collaboration science education and mentoring ,Before 2020
