date,text
2020-05-31 15:47:54+00:00,managing remains challenging but research into the disease drivers is helping identify new approaches to help people manage this debilitating condition 
2020-05-31 13:32:58+00:00,active therapy or primary therapy aims to eliminate cancer in the first instance maintenance therapy aims to prevent or delay the cancer s return slowing its growth after the active therapy 
2020-05-30 15:26:10+00:00,traditionally her status has been categorised as either positive or negative based on the amount of protein and the number of copies of the her gene in the cancer cells 
2020-05-29 12:38:53+00:00,surgery is the primary treatment for patients with early stage non small cell nsclc despite treatment patients cancer often returns new adjuvant options are needed to extend patient survival following surgery 
2020-05-28 15:18:32+00:00,the majority of cases are non small cell lung cancer nsclc globally up to are mutated disease new targeted treatment approaches aim to address these specific receptors in cancer treatment 
2020-05-27 19:48:54+00:00,our scientists are excited to share research programme updates at this science can be incredibly complex so we challenged jill walker a diagnostic expert to explain how may be used to predict progression in certain types 
2020-05-27 16:41:46+00:00,currently over of women with advanced will relapse as cancer progresses the rate of recurrence can be negatively influenced by the cancer stage 
2020-05-27 12:14:36+00:00,sclc spreads much faster than non small cell lung cancer nsclc and extensive stage sclc has a year survival rate of just research into new treatment combinations looks to improve survival for patients in urgent need of new options 
2020-05-26 17:13:47+00:00,now more than ever we value the privilege to connect with attendees all over the world as we prepare for the world s largest virtual congress we are using these social media tips to engage from home 
2020-05-26 14:54:32+00:00,today we announced a collaboration with to develop a test for mrd in building on our commitment to identify and treat patients at earlier stages of disease 
2020-05-21 11:48:20+00:00,thanks to we re proud to announce us commitments for vaccine as we are working on a number of agreements in parallel to ensure broad amp equitable supply throughout the world at no profit during the pandemic 
2020-05-19 17:43:57+00:00,scientists recognise several factors that are associated with a higher risk of developing identifying risk factors early can help support earlier screening diagnosis and treatment ultimately leading to better survival outcomes 
2020-05-18 17:24:03+00:00,in a new paper our scientists describe novel based models that enable chemists and computers to work interactively to speed up the exploration of chemical space and the design of potential new drug molecules 
2020-05-18 13:35:07+00:00,we are stronger together in the fight against s initiative is part of our new partnership to provide ongoing support and resources for people with cardiovascular disease and associated risks 
2020-05-17 16:13:02+00:00,on world day we recognize the m people around the world that are living with neurofibromatosis nf and join with the community to shine a light on nf though progress has been made much remains to be done in raising awareness and advancing research 
2020-05-17 10:40:02+00:00,we are expanding our healthy heart africa programme into uganda to tackle the growing burden of undiagnosed and uncontrolled high blood pressure alongside 
2020-05-15 15:45:04+00:00,as a part of our ongoing pursuit of innovative science we re exploring the central role of eosinophils allowing us to uncover an underlying common thread across a range of inflammatory diseases eosinophilic immune dysfunction 
2020-05-14 13:05:10+00:00,we look forward to continuing the important exchange of new research at the virtual scientific program in just a few weeks with abstracts across our broad portfolio of medicines 
2020-05-13 15:51:02+00:00, begins when healthy cells in the bladder lining change and grow uncontrollably while it can often be treated with surgery alone in the early stages new therapies are urgently needed for patients with advanced disease 
2020-05-09 14:27:02+00:00,we are continuing to better understand the important role of eosinophils as key effector cells this understanding drives our commitment to improving diagnosis and treatment needs across a wide range of eosinophil driven diseases 
2020-05-08 13:53:41+00:00,today is and we stand with our partners to raise awareness of the th most common cancer in women by raising awareness of the disease and its symptoms we can drive a shift towards earlier diagnosis and better patient outcomes 
2020-05-06 13:13:41+00:00,together with partners across industry academia and government we are taking a multipronged approach to helping patients around the world facing 
2020-05-05 16:27:03+00:00,on we stand with our partners in their efforts responding to the unique health needs of groups vulnerable to such as those living with ncds and young people get involved 
2020-05-05 12:30:15+00:00,we re with patients and the respiratory community during these times of uncertainty visit to learn more about what we re doing to play our part in the fight against 
2020-05-05 08:31:20+00:00,navigating asthma management is tough especially with the abundance of information around we want to ensure that asthma patients have access to accurate guidance to confidently manage their condition 
2020-05-05 07:30:01+00:00,we re standing with the global respiratory community both in the fight against and in ensuring patients get the information they need to feel empowered to effectively self manage asthma at this time 
2020-05-04 19:30:24+00:00,now more than ever a deeper understanding of management is needed learn from leading experts and how patients with asthma can be supported during 
2020-05-04 13:24:03+00:00,jos baselga evp and president of oncology r d joined industry colleagues in a virtual press briefing organized by explaining how we re engaged in the fight against 
2020-05-01 14:20:26+00:00,how can you tell if some cells in our body are bad jill walker immuno oncology diagnostic development dives into the diagnostics of and how the dna of cancer cells may help us predict progression in certain cancers 
2020-04-30 11:47:01+00:00,a vaccine is crucial to helping overcome this global pandemic that is why we are partnering with to support the global development manufacturing and distribution of the university s vaccine candidate if it proves to be effective 
2020-04-29 12:04:02+00:00,in response to teams across astrazeneca have moved quickly to maintain continuity of care contribute to society and use our scientific expertise to fight the pandemic 
2020-04-29 08:00:24+00:00,together with public research bodies and academic institutions we are part of accord a new uk government led initiative aiming to expedite the development of medicines to treat patients hospitalised with 
2020-04-29 06:10:11+00:00,today we re announcing results from a robust first quarter and our ongoing efforts to advance science in the fight against  azn
2020-04-28 18:08:22+00:00,why aren t all medicines taken as pills teresa klinowska global project leader in oncology explains some of the decisions that go into how medicines are developed 
