date,text,before_2020
2020-05-27 20:48:45+00:00,last week announced their chf million donation to cepi we are incredibly grateful for s leadership in supporting our efforts to rapidly develop a safe effective and globally accessible vaccine against ,After 2020
2020-05-26 08:05:19+00:00,cepis priority has been to focus on candidates with the potential to be developed at speed and scale and made globally accessible we recently provided up to an additional million to advance development and manufacture of s vaccine ,After 2020
2020-05-26 08:05:18+00:00,our partner has announced the initiation of clinical trials of its vaccine candidate in australia this marks an important step on the path to delivering a safe effective and globally accessible vaccine  ,After 2020
2020-05-21 12:09:06+00:00,in march we expanded our collaboration with to use their technology to develop a vaccine we provided initial funding to support the manufacture of vaccine materials required for preclinical and phase testing ,After 2020
2020-05-21 12:09:05+00:00,we welcome today s announcement by to manufacture the vaccine candidate at large scale and make it globally accessible if it is proven to be safe and effective  ,After 2020
2020-05-20 08:27:22+00:00,we are incredibly grateful for nestl s leadership in supporting our efforts to rapidly develop a safe effective and globally accessible vaccine against ,After 2020
2020-05-17 13:09:16+00:00, vaccines are international collaborations no single country has the capacity to research develop and manufacture a vaccine on its own director of in ,After 2020
2020-05-16 15:12:59+00:00,we are proud to be a founding member of the access to covid tools act accelerator the initiative has launched to advance the development of diagnostics therapeutics and vaccines making them accessible to everyone worldwide ,After 2020
2020-05-11 20:08:08+00:00,were extending our collaboration with novavax to advance their vaccine this is our single biggest investment to date with the additional funding supporting phase and trials and large scale vaccine manufacture  ,After 2020
2020-05-01 07:45:04+00:00, humankind has never had a more urgent task than creating broad immunity for coronavirus were working with and many others across the world to develop a safe effective and globally accessible vaccine ,After 2020
2020-04-27 10:13:24+00:00,we have also opened a representative office in shanghai to facilitate our collaboration with china in the prevention and control of pandemic diseases  ,After 2020
2020-04-27 10:13:23+00:00,we have just announced our ninth worldwide collaboration with clover biopharmaceuticals to develop a vaccine funding will support preparation and initiation of a phase trial ,After 2020
2020-04-26 11:35:06+00:00,the access to tools act accelerator will accelerate the development production and deployment of safe and effective diagnostics therapeutics and vaccines against covid making them accessible to everyone worldwide ,After 2020
2020-04-24 17:49:13+00:00,we are proud to be a founding member of the access to tools act accelerator together we will speed up the development production and deployment of safe and effective vaccines therapeutics and diagnostics accessible to all ,After 2020
2020-04-24 13:14:40+00:00,cepi is part of the landmark collaboration to accelerate the development and equitable global access to new health technologies watch live ,After 2020
2020-04-24 07:20:45+00:00,cepi first provided funding to in to develop vaccines against lassa nipah and mers in march we expanded our collaboration to support their vaccine programme ,After 2020
2020-04-24 07:18:07+00:00,producing a safe effective and globally accessible vaccine is our best hope in ending this pandemic we are pleased to see the rapid advancement of s vaccine candidate into clinical safety testing ,After 2020
2020-04-21 08:27:18+00:00,the kingdom of saudi arabia has pledged million to cepi to support our vaccine development efforts with this important contribution we are able to continue our rapid progress to develop a safe effective and globally accessible vaccine ,After 2020
2020-04-16 16:36:04+00:00,global collaboration is key to ending this pandemic it is heartening to see the netherlands and switzerland join a growing list of nations supporting our work to develop vaccines against ,After 2020
2020-04-14 17:00:00+00:00,our ultimate exit strategy from this pandemic requires safe effective and globally accessible vaccines todays collaboration between and will speed the delivery of vaccines to the world ,After 2020
