date,text,user
2020-05-29 22:07:29+00:00,im excited to host two @unesco focus groups in mid-june on the unesco believes education has a special role to play in contributing to the global common good. ,Dr_CLWashington
2020-05-28 16:07:26+00:00,"@robfloydacet: “more than ever, it is necessary to understand and harness the power of the digital in order to further the global common good”. @eu_commission /@_africanunion dialogue on digitalization currently ongoing. a @ecdpm @die_gdi partnership.",AcetforAfrica
2020-05-28 14:03:35+00:00,japan & eu leaders call for the future covid-19 vaccine to become a global common good. ,niawag2011
2020-05-27 06:43:34+00:00,"following president xi jinpings recent pledge that chinas future success in the vaccine will be benefiting the world, japanese and eu leaders also agreed that such breakthroughs should become a global common good in their video conference on 26 may. ",CCCEUofficial
2020-05-25 09:22:37+00:00,rethinking education: towards a global common good? ,juergarpagaus
2020-05-21 07:23:19+00:00,engl.: the pandemic is not over until a vaccine is available. this will be a global common good which must be made available to all. after a video conference with @oecd @wto @worldbank and @ilo .,antje_wiener
2020-05-20 15:07:24+00:00,"""international negotiations cannot make significant progress due to positions taken by countries that place their national interest above the global common good."" (169) to america: dumptrump and live up to out international humanitarian obligations!!! ",FrankMcCann
2020-05-19 23:41:00+00:00,“it will be important for china and the eu to expand cooperation and use the experiences of the past months for common good. let us not forget: protection against infectious diseases is a global common good.” ,icecreamyfun
2020-05-17 18:22:02+00:00,"“...particularly the law, the constitution, the legislatures, will dissolve in order that something truly new can be created for the sake of a more global common good? 2/4",HeinleinMichael
2020-05-15 16:53:00+00:00,"""the christian community should be a vigorous advocate for the global common good in the face of covid-19’s severe threats to the poor and displaced."" ",SistersofMercy
2020-05-15 15:45:09+00:00,participate in a virtual internship this summer through umd global partners! gain real world experience working with organizations around the world to improve the global common good. learn more at ,UMStudyAbroad
2020-05-13 17:55:56+00:00,in a meeting today hosted by my friend @damilolasdg7 i highlighted the key role of @cip_climate – a global common good – in accelerating . @seforallorg @undp @thegcf @irena working to ,flacamera
2020-05-12 16:42:43+00:00,1. facilitate us innovation to contribute to global common good. there is no shortage of ingenuity in this country :scientists leaders with diverse backgrounds global expertise who predicted the pandemic proposed solutions that can be successful as part of global response.,drlouiseivers
2020-05-10 16:48:52+00:00,"the british people. not some global common good, nwo, control feudalism.",AlistairNic
