date,text,user
2020-05-31 10:09:04+00:00,like the crisis has highlighted inequalities of our world it’s also offering an opportunity to bridge those inequalities build a fairer world tools to prevent detect and treat covid-19 are global public goods must be accessible by all ,ishdeep_kohli
2020-05-30 17:02:00+00:00,"""who recognizes the important role that patents play in fueling innovation. but this is a time when people must take priority. tools to prevent, detect & treat are global public goods that must be accessible by all."" @drtedros at technology access pool launch 29 may.",GHS
2020-05-30 15:23:35+00:00,"""now is the time to take concrete steps to ensure that drugs, diagnostics, vaccines other health technologies are available as global public goods."" read our statement on the @who solidarity call to action ",DNDi
2020-05-30 10:01:04+00:00,"""vaccines, tests, diagnostics, treatments and other key tools in the coronavirus response must be made universally available as global public goods.” - costa rica president carlos alvarado ",MelissaFleming
2020-05-30 09:34:36+00:00,"as multiple heads of state refer to covid-19 medical tools as ‘global public goods,’ there needs to be an approach to governance of these tools that includes all relevant parties in the process, including civil society and low- and middle-income countries.",DrChristou
2020-05-30 07:25:22+00:00, has highlighted the inequalities of our world it’s also offering an opportunity to bridge those inequalities and build a fairer world tools to prevent detect and treat covid-19 are global public goods that must be accessible by all people ,ishdeep_kohli
2020-05-30 03:10:38+00:00,"i propose a world of city-states under a super-national global government with the ability to regulate global public goods, organize defence, and uphold human rights",publicunionism
2020-05-30 02:32:54+00:00,"us and uk are the only countries that have not signed up for the vaccine to be global public goods, is that right or am i mistaking?",StuckupMark
2020-05-30 02:28:42+00:00,"while the quest for treatments and vaccines continued, the language of global public goods dominated international pandemic talks. ",LRussellWolpe
2020-05-29 21:58:58+00:00,"c-tap was first proposed by @carlosalvq, president. muchas gracias por su liderazgo, mi hermano. we stand strong together in commitment to ensuring tools to prevent, detect and treat are global public goods that are accessible by all people. ",DrTedros
2020-05-29 21:28:11+00:00,"palau is proud to support the solidarity call for action, led by the @who + @costaricaonu, for treating covid19 medical technologies and knowledge as global public goods. small states cannot be left behind in this pandemic. see more in this thread: ",PalauMission
2020-05-29 20:18:32+00:00, and launch technology access pool c-tap to accelerate development of diagnostics medicines tools to prevent detect and treat are global public goods to be shared accessible by all ,ishdeep_kohli
2020-05-29 19:55:05+00:00,"the u.s. announced this on the same day who announced its pooling together pharma ip “vaccines, tests, diagnostics, treatments and other key tools in the coronavirus response — must be made universally available as global public goods” ",emilyakopp
2020-05-29 19:53:31+00:00,"vaccines, tests, diagnostics, treatments and other key tools in the coronavirus response must be made universally available as global public goods. @who @drtedros ",CarlosAlvQ
2020-05-29 19:10:41+00:00,"from nilima gulrajani - the silver lining of the current pandemic is that it strengthens the logic of win-win arguments away from the parochial towards the principled. tackling covid-19 is a searing example of the ‘good’ in global public goods, and thus a necessary action. ",CICHalifax
2020-05-29 18:54:28+00:00,"if donald trump is so disappointed in who, he could dramatically expand the reach, capacity, and global public goods provision by the world’s premier public health agency, the cdc. oh, wait.",interfluidity
2020-05-29 17:00:28+00:00,"will later be known as the turning point after which coordinated investments in global public goods, quality public health care for all, universal human are regarded as the new normal? we sure hope so. @kelinkenya @malecheallan",Wemos
2020-05-29 16:57:10+00:00,ngozi “a picture will emerge that the major powers need to find ways to compete but also to collaborate for global public goods.” @ifrc_nyc @noiweala,richarddblewitt
2020-05-29 16:16:06+00:00,"""tools to prevent, detect and treat are global public goods that must be accessible by all people. science is giving us solutions, but to make those solutions work for everyone, we need solidarity""- ",ravins24
2020-05-29 16:15:24+00:00,"the launch of @who , created to enhance access to vaccines treatments needed to bring the pandemic to an end, is a historic moment. the pool needs the support of all stakeholders to ensure medical technologies for are global public goods accessible to all. ",HAImedicines
2020-05-29 16:00:37+00:00,"rt @who :""tools to prevent, detect and treat are global public goods that must be accessible by all people. science is giving us solutions, but to make those solutions work for everyone, we need solidarity""-@drtedros",NiliMajumder
2020-05-29 16:00:11+00:00,"just to flag: the whos support for ""global public goods"" and social solidarity are *radical* commitments at this historical moment. ",HelenTilley15
2020-05-29 15:55:06+00:00,"global solidarity is needed to end this . to effectively create medical tools that are ‘global public goods’, civil society and low- and middle-income countries must be part of the process. @who ",MSF_access
2020-05-29 15:32:33+00:00,pm of barbados @miaamormottley expresses support for the and says data knowledge to fight this pandemic must not create winners and losers. calls on all stakeholders to make medical technologies for global public goods and ensure equitable access. ,HAImedicines
2020-05-29 15:20:52+00:00,"35 countries and numerous partners have come together to launch the technology access pool, or c-tap. ""tools to prevent, detect and treat are global public goods that must be accessible by all people."" @who @drtedros",IIPP_UCL
2020-05-29 15:11:33+00:00,"""tools to prevent, detect and treat are global public goods that must be accessible by all people. science is giving us solutions, but to make those solutions work for everyone, we need solidarity""-@drtedros",WHO
2020-05-29 15:07:47+00:00,"unitaid backs @who and @carlosalvq solidarity call to action on for knowledge, rights and data for global public goods. equitable access is key to combatting this pandemic. @medspatentpool",UNITAID
2020-05-29 12:34:17+00:00,"of course, as this is an investment in global public goods that are necessary for the rich countries too. we count research in solar panels as oda neither, although they will greatly benefit poor countries too.",samwgardner
2020-05-29 11:34:50+00:00,"this binding international agreements are global public goods that yield benefits to all human beings. however, this era is full of voluntary codes of conduct for corporations and stated that yield nothing but good words weak enforcement. mandatory rules for signatory countries ",JoseLViveroPol
2020-05-29 09:08:01+00:00,"premier li: research efforts need to be intensified for breakthroughs in vaccines,effective medicines and testing reagents.deliverables of the r&d will be global public goods that we are ready to share with others.they will help the entire humankind in defeating the virus. ",ChinaConSydney
2020-05-28 14:54:08+00:00,"@ellenthoen: ""world leaders and others are saying that the vaccines and the products need to be global public goods, but no one is talking about how thats going to happen."" ",NewSchool_IA
2020-05-28 11:48:33+00:00,"pleased to see canada ""leading from beside"" on this. i hope the idea of global public investment for global public goods receives attention.",BelindaJDodson
2020-05-28 10:57:58+00:00,international cooperation and share these products as global public goods so humanity can finally defeat the virus.,lioussh
2020-05-28 01:56:42+00:00,"people talk about the hegemonic struggle for global public goods provision, but i really don’t see it. ",whinecough
2020-05-27 16:48:19+00:00,"""agreements on global public goods are hard because individual countries have an incentive to defect, producing noncooperative, beggar-thy-neighbor outcomes.""",ryanchua94
2020-05-27 13:02:39+00:00,"since the 1990s, us has participated and invested in multilateral campaigns and issues only when it suits its interests, not out of any desire to contribute to global public goods. this approach will not generally change irrespective of whether trump is re-elected. 8/",karthiknach
2020-05-26 19:36:05+00:00,i think the hawk-dove dichotomy is problematic - especially if anyone who favors engaging with (not counting on) china on global public goods is automatically a dove ,noahbarkin
2020-05-25 13:20:21+00:00,what are @dhscgovuk and @dfid_uk respective positions on covid technologies/vaccines as global public goods (in the formal economic definition)?,gawharton1
2020-05-25 12:29:29+00:00,a new @radiotelesuisse research confirms again the massive public involvement in testing potential drugs: only 1 in 5 phase ii iii clinical trials are purely industry-sponsored. they should thus be considered global public goods @rts_felix,DBdurisch
2020-05-25 11:41:18+00:00,"""china may well be less capable of providing global public goods than the united states ... because its authoritarian political system makes it harder to exercise the comparatively enlightened, positive-sum leadership that has distinguished u.s. primacy."" ",KayJebelli
2020-05-24 19:10:01+00:00,coronavirus outbreak: who calls for covid-19 vaccines to be classified as global public goods | full ,BanglaViral
2020-05-24 16:07:01+00:00,“the world must use this opportunity to fund global public goods and rebuild global systems to fight the right battles—not to fight each other.” ,BrookingsGlobal
2020-05-24 10:59:27+00:00,i was arguing quite a few years ago for a global public goods approach to „smart sovereignty“ ,IlonaKickbusch
2020-05-24 10:22:40+00:00,"the 202 page report (2006) of the french/swedish initiative, the international task force on global public goods can be found here: ",ThiruGeneva
2020-05-23 14:59:13+00:00,"thank you @msuzman @trevormundel. @malaysianhc @dndi co-wrote a letter on global access for all covid-19 treatments, vaccines diagnostics. were optimistic about them becoming global public goods. ",DrKhorSK
2020-05-23 12:38:10+00:00,act accelerator is looking at how can we have a situation in which the covid-19 vaccines will be regarded as global public goods. meaning that the issue is not about profit but saving humanity -@noiweala board chair of @gavi today on rt watch: ,Underground_RT
2020-05-23 06:06:55+00:00,a strong call for covid-19 treatments and vaccines to be global public goods – world health assembly by priti patnaik,IHPblog
2020-05-22 21:19:25+00:00,"i had an impression .@unicef did not answer specifically on global public goods. .@gaviseth who was also at the .@who presser, said that immunization can be characterised as a global public good (rephrased). (there was also a mention of herd immunity)",pretpat
2020-05-22 21:17:10+00:00,"on ""global public goods"" - question from an american newsroom who suggested that this was an ""academic discussion"" - which by the way was exactly the position of the u.s. in the negotiations on the resolution adopted by this week",pretpat
2020-05-22 17:07:48+00:00,"this @intldogooder piece is so on point, even more so now. and more does need to go into ""global public goods"", but will the aid industry will spend more time defending a crumbling status quo than leading the change?",DEinDC
2020-05-22 16:54:33+00:00,"its sadly no surprise that ""washington objected to casting remedies as global public goods [that] could be subject to ... measures to reduce their costs and make them more widely available."" via @politico",PNHP
2020-05-22 14:57:48+00:00,"at un arria formula (vtc) on cyber stability, conflict prevention & capacity building, @indonesiaunny quotes the sg that we have, for too long, ignored proper investment in ""global public goods."" going forward, the cyber realm is clearly and undoubtedly one of those goods.",GlobalActionPW
2020-05-22 14:25:15+00:00,"yes, the idea is to generate global public investment (gpi) to provide for supply of global public goods.",MilindoC
2020-05-22 14:03:41+00:00,"yes, the crisis over how to address global public goods highlights the battles in the un. the uns key agency, imf, was neutered in 1971, hence the launch this year of an external advisory group for a wider view. but this moving the un from its hq in the us seems insufficient.",euroscot1
2020-05-22 12:57:56+00:00,"“relevant technologies should become global public goods. where incentives are needed, they should be delinked from prices and exclusive rights.” ",markcheongwl
2020-05-22 08:16:56+00:00,a strong call for covid-19 treatments and vaccines to be global public goods – world health assembly by @pretpat,IHPblog
2020-05-21 22:52:08+00:00,what we need is to treat all covid research as global public goods and focus on access and sharing rather than property. patents are the wrong way to go. 2/2,IP_policy
2020-05-21 14:01:25+00:00,"involve them @every stage of developing & implementing global public goods relevant to their health rights, including for setting standards.. young ones should also be considered in all their diversities, including those who are most at risk of being left behind ",Amila_B9
2020-05-21 13:07:57+00:00,"did you say public goods, essential global public goods and shld be subsidized and as cheap as 1$",omotee035
2020-05-21 12:57:20+00:00,a strong call for covid-19 treatments and vaccines to be global public goods – world health assembly @pretpat ,DrRimmer
2020-05-21 10:05:21+00:00,a strong call for covid-19 treatments and vaccines to be global public goods – world health assembly new featured article by @pretpat ,IHPblog
2020-05-21 06:27:07+00:00,a strong call for covid-19 treatments and vaccines to be global public goods – world health assembly | ihp. interesting that it mentions the possibility for compulsory licensing (allowing use of generic drugs despite patents). ,MarionKoopmans
2020-05-21 05:53:54+00:00,a strong call for covid-19 treatments and vaccines to be global public goods – world health assembly new featured article by @pretpat,IHPblog
2020-05-21 01:47:55+00:00,"more importantly, leadership, coordination and cooperation are really important in creating and managing global public goods, like public health or climate action. a single spoiler can do a lot of damage. the money is important, but do is the message.",niawag2011
2020-05-20 23:58:16+00:00,"zacly ‘different forms of public support incentivize unsustainable impacts on soils, water, biodiversity climatic stability. in the process global public goods are liquidated capital accumulates in fewer hands, thereby exacerbating inequalities’ ",JodieBruning
2020-05-20 22:30:24+00:00,"chinas development of c19 vaccine is a race against coronavirus! the new vaccine will be provided to the world as global public goods, as president xi has promised. ",weilinkuang
2020-05-20 19:14:13+00:00,"interesting that the term global public goods, which was in vogue a few years back, now seems to be back. the public goods characteristics of knowledge and of disease do not necessarily make vaccines a global public good according to the usual economic definition though.",soverylong
2020-05-20 19:14:12+00:00,"""we see vaccines as global public goods, meaning that it belongs to everybody around the world and not just something that the countries producing it can reserve for their use."" ",soverylong
2020-05-20 19:07:44+00:00,i also look forward to working with her on the knowledge agenda of the wbg. it will be important to link @worldbank research and global practices with the regions and countries for better country outcomes and global public goods.,Mari_Pangestu
2020-05-20 18:30:27+00:00,"sounds nice, but i cant read it! seems like everyone should be able to benefit from knowledge about global public goods.",RolvixPatterson
2020-05-20 18:27:11+00:00," (global public goods) are more important than ever for ! @gyamey, @kennedy_kaci, osondu ogbuoji suggest that it is very powerful to hear world leaders say that the covid-19 vaccine should be a gpg. @who @gaviseth @emmanuelmacron @s_sommaruga @angelamerkeicdu",DukeCPIGH
