,0,1
0,2020-03-30 21:48:34+00:00,Now available! New guidelines to help countries maintain essential health services &amp; safeguard health care workers during #COVID19 outbreak. http://bit.ly/3aq6CRg #coronavirus
1,2020-03-30 15:18:36+00:00,The full briefing on #COVID19 by @DrTedros 
2,2020-03-30 15:06:33+00:00,"""In the eye of a storm like #COVID19, scientific and public health tools are essential, but so are humility and kindness. With solidarity, humility and assuming the best of each other, we can – and will – overcome this together""-@DrTedros #coronavirus"
3,2020-03-30 15:06:07+00:00,"""Yesterday I sent a tweet with a single word: humility. Some people asked me why. #COVID19 is reminding us how vulnerable we are, how connected we are and how dependent we are on each other""-@DrTedros #coronavirus"
4,2020-03-30 15:05:08+00:00,"""We continue to be encouraged by the signs of global solidarity to confront & overcome this common threat. The commitment of @g20org countries to work together to improve the production &amp; equitable supply of essential products shows that the world is coming together""-@DrTedros"
5,2020-03-30 15:04:40+00:00,"""We’re very grateful to the many countries & foundations who have contributed; more than USD 622M have been received so far & we would like to thank @KingSalman &amp; the @KSRelief_EN for its contribution of USD 10M""-@DrTedros #COVID19"
6,2020-03-30 15:03:05+00:00,"""Two months ago, WHO published the Strategic Preparedness and Response Plan, with an initial ask of USD 675 million to support countries to prepare for and respond to #COVID19""-@DrTedros #coronavirus"
7,2020-03-30 15:02:34+00:00,"""Countries should work hand-in-hand with communities to build trust and support resilience and #mentalhealth""-@DrTedros #COVID19 #coronavirus"
8,2020-03-30 15:02:04+00:00,"""Governments need to ensure the welfare of people who have lost their income and are in desperate need of food, sanitation and other essential services""-@DrTedros #COVID19 #coronavirus"
9,2020-03-30 15:01:47+00:00,"""It’s also important that governments keep their people informed about the intended duration of measures & to provide support for older people, refugees & other vulnerable groups""-@DrTedros #COVID19 #coronavirus"
10,2020-03-30 15:01:17+00:00,"""We understand that many countries are implementing measures that restrict the movement of people. In implementing these measures, it’s vital to respect the dignity and welfare of all people""-@DrTedros #COVID19 #coronavirus"
11,2020-03-30 15:00:53+00:00,"""In addition, WHO is working intensively with several partners to massively increase access to life-saving products, including diagnostics, personal protective equipment, medical oxygen, ventilators and more""-@DrTedros #COVID19 #coronavirus"
12,2020-03-30 15:00:25+00:00,"""We call on countries to work with companies to: -increase production -ensure the free movement of essential health products -ensure equitable distribution of those products, based on need. Specific attention should be given to LMIC in Africa, Asia and Latin America""-@DrTedros"
13,2020-03-30 14:59:25+00:00,"""Earlier today I spoke to trade ministers from the @g20org countries about ways to address the chronic shortage of personal protective equipment and other essential medical supplies""-@DrTedros #COVID19"
14,2020-03-30 14:59:24+00:00,"""Ensuring free movement of essential health products is vital for saving lives & curbing the social & economic impacts of the #COVID19 pandemic""-@DrTedros #coronavirus"
15,2020-03-30 14:58:13+00:00,"""These facilities will also have longer-term benefits for health systems once the current #COVID19 crisis is over. It’s also vital that countries have sufficient supplies of diagnostics, protective equipment and other medical supplies""-@DrTedros #coronavirus"
16,2020-03-30 14:57:37+00:00,"""The manual covers structural design, infection prevention & control measures & ventilation systems. This is a life-saving instruction manual to deal with the surge of #COVID19 cases that some countries are facing right now""-@DrTedros #coronavirus"
17,2020-03-30 14:56:59+00:00,"""The manual covers setting up: -screening & triage at health facilities, using a repurposed building or a tent -community facilities to care for mild patients -a treatment centre, by repurposing hospital wards or entire , or by setting up a new in a tent""-@DrTedros"
