date,text
2020-05-31 19:50:07+00:00,there has never been a better time to quit smoking puts you at higher risk for a severe case of and a lot of other diseases that kill you 
2020-05-31 19:23:26+00:00,quit now and breath easy within minutes of quitting your blood pressure drops after hours carbon monoxide levels in the bloodstream drops to normal within weeks your circulation improves and lung function increases 
2020-05-31 19:00:46+00:00,on organize your own workshop to educate people around you spread awareness and create a tobacco free generation speak out workshop toolkit 
2020-05-31 17:12:43+00:00,to help over billion tobacco users quit who is launching florence a digital health worker that combats misinformation about and tobacco and gives recommendations and tips for quitting 
2020-05-31 16:41:11+00:00,quit today tips to curb your cravings delay as long as you can before giving in to your urge take deep breaths to relax yourself until the urge passes drinking is a healthy alternative do something else to distract yourself 
2020-05-31 15:09:41+00:00,tobacco use is responsible for of all cancer deaths globally use of nicotine and tobacco products increases the risk of cancer cardiovascular pulmonary disease 
2020-05-31 14:15:54+00:00,tobacco companies spent over us billion in marketing advertising they bombard children adolescents with social media messages that were viewed billion times that kind of social media reach is to die for 
2020-05-31 13:27:03+00:00,smoking is expensive you pay for it with your looks amp your health it causes bad breath yellow teeth wrinkly skin unhealthy lungs a poor immune system and much more 
2020-05-31 12:44:07+00:00,smokers may be more vulnerable to a severe case of q amp a 
2020-05-31 12:03:21+00:00,smoking shisha is just as harmful as other forms of tobacco use its smoke is toxic and contains substances that cause cancer 
2020-05-31 11:08:48+00:00,children adolescents who use e cigarettes at least double their chance of smoking cigarettes later in life 
2020-05-31 09:07:58+00:00,nicotine in e cigarettes is a highly addictive drug and can damage the developing brains of young people up to their mid twenties 
2020-05-31 08:48:02+00:00,learn about amp emergency response with courses intro to health amp safety infection prevention amp control protective equipment hygiene clinical care country capacitation treatment facilities field data tool amp more 
2020-05-31 07:43:53+00:00,over million people die from second hand smoke exposure every year we want to create a generation that is free from tobacco second hand smoke and the death disease that they cause speak out 
2020-05-31 06:04:59+00:00,break free from the tobacco related industries manipulation by becoming educated on their tactics and the harm caused by their products 
2020-05-31 04:45:48+00:00, tactics to attract youth flavours to attract children adolescents in smokeless tobacco shisha e cigarettes promotion amp free sample distribution at popular events for youth advertising placement on movies tv social media with paid influencers
